datetime,location_name,operator,capacity_mw,county,state,grid,latitude,longitude,calculated_aqi,pm10,pm2_5,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,pressure_msl,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,uv_index,uv_index_clear_sky,ammonia,alder_pollen,birch_pollen,grass_pollen,mugwort_pollen,olive_pollen,ragweed_pollen,dew_point_2m,apparent_temperature,rain,snowfall,weather_code,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm
2025-09-19 07:00:00+00:00,Bakeoven Solar,Avangrid Renewables,60.0,Wasco,OR,AVRN,45.2588,-121.0949,35.83333492279053,8.7,8.6,18.498,58.266014,1.835647,0.0,1012.2,179.0,6.7,0.8,57.0,0.0,0.0,0.0,,,,,,,,10.148,18.287691,0.0,0.0,0.0,964.2758,0.0,0.0,0.0,0.0,,0.0,0.8893161,3.84796,11.3098955,349.21573,7.2,21.548,0.018
2025-09-19 08:00:00+00:00,Bakeoven Solar,Avangrid Renewables,60.0,Wasco,OR,AVRN,45.2588,-121.0949,41.66666666666667,10.1,10.0,17.748,61.28052,0.9693296,0.0,1012.5,176.0,6.8,0.9,54.0,0.0,0.0,0.0,,,,,,,,10.198,17.678694,0.0,0.0,0.0,964.44147,0.0,0.0,0.0,0.0,,0.0,0.7871609,3.5455887,338.19852,293.9625,4.68,20.298,0.018
2025-09-19 09:00:00+00:00,Bakeoven Solar,Avangrid Renewables,60.0,Wasco,OR,AVRN,45.2588,-121.0949,46.2500015894572,11.2,11.1,16.998,64.90015,0.56920993,0.0,1012.6,173.0,6.8,1.0,52.0,0.0,0.0,0.0,,,,,,,,10.348,17.030773,0.0,0.0,1.0,964.4159,24.0,0.0,0.0,24.0,,0.0,0.6805904,3.462369,341.56494,261.02747,3.6,19.248,0.018
2025-09-19 10:00:00+00:00,Bakeoven Solar,Avangrid Renewables,60.0,Wasco,OR,AVRN,45.2588,-121.0949,47.91666666666667,11.7,11.5,16.298,67.399574,1.2074767,0.0,1012.7,169.0,6.9,1.0,49.0,0.0,0.0,0.0,,,,,,,,10.247999,16.208847,0.0,0.0,2.0,964.3981,64.0,0.0,0.0,64.0,,0.0,0.6046672,4.5891175,153.43501,191.30989,2.52,18.397999,0.018
2025-09-19 11:00:00+00:00,Bakeoven Solar,Avangrid Renewables,60.0,Wasco,OR,AVRN,45.2588,-121.0949,47.083334128061935,11.4,11.3,15.848,69.36272,0.25455844,0.0,1012.6,164.0,6.9,1.0,46.0,0.0,0.0,0.0,,,,,,,,10.247999,15.897928,0.0,0.0,2.0,964.2299,70.0,0.0,0.0,70.0,,0.0,0.5521889,1.8792552,44.999897,196.69933,2.52,17.647999,0.018
2025-09-19 12:00:00+00:00,Bakeoven Solar,Avangrid Renewables,60.0,Wasco,OR,AVRN,45.2588,-121.0949,49.583331743876144,12.0,11.9,15.148,71.58207,0.742159,0.0,1012.9,161.0,7.3,0.9,43.0,0.0,0.0,0.0,,,,,,,,10.047999,15.069401,0.0,0.0,1.0,964.40155,47.0,0.0,0.0,47.0,,0.0,0.48974538,3.096837,345.9637,234.46223,2.52,16.948,0.018
2025-09-19 13:00:00+00:00,Bakeoven Solar,Avangrid Renewables,60.0,Wasco,OR,AVRN,45.2588,-121.0949,49.583331743876144,12.1,11.9,13.898,77.08196,0.9,0.0,1013.1,163.0,7.2,0.8,42.0,0.0,0.0,0.0,,,,,,,,9.948,13.768072,0.0,0.0,0.0,964.38666,13.0,0.0,0.0,13.0,,0.0,0.36436367,5.00128,180.0,210.25635,2.52,14.997999,0.037
2025-09-19 14:00:00+00:00,Bakeoven Solar,Avangrid Renewables,60.0,Wasco,OR,AVRN,45.2588,-121.0949,48.33333492279053,11.7,11.6,13.348,79.88859,0.40249225,0.0,1013.5,169.0,7.0,0.8,42.0,0.0,0.05,0.05,,,,,,,,9.948,13.290705,0.0,0.0,0.0,964.6765,1.0,0.0,0.0,1.0,,0.012287761,0.3085183,4.863332,63.435013,218.991,2.52,14.598,0.037
2025-09-19 15:00:00+00:00,Bakeoven Solar,Avangrid Renewables,60.0,Wasco,OR,AVRN,45.2588,-121.0949,42.49999920527141,10.3,10.2,14.497999,74.14543,1.8532133,0.0,1013.8,172.0,6.3,0.7,47.0,0.0,0.4,0.4,,,,,,,,9.948,14.228962,0.0,0.0,0.0,965.1519,0.0,0.0,0.0,0.0,,0.024002507,0.42731535,2.50064,60.94549,210.25635,5.7599998,15.198,0.037
2025-09-19 16:00:00+00:00,Bakeoven Solar,Avangrid Renewables,60.0,Wasco,OR,AVRN,45.2588,-121.0949,27.083333333333336,6.6,6.5,16.647999,65.040665,1.8532133,0.0,1013.8,172.0,4.7,0.7,63.0,0.0,1.35,1.35,,,,,,,,10.047999,16.407007,0.0,0.0,0.0,965.5024,0.0,0.0,0.0,0.0,,0.117434084,0.66300666,2.226477,119.05451,165.96373,9.0,17.298,0.037
