date,calculated_aqi,pm10,pm2_5,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,pressure_msl,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,uv_index,uv_index_clear_sky,ammonia,alder_pollen,birch_pollen,grass_pollen,mugwort_pollen,olive_pollen,ragweed_pollen,dew_point_2m,apparent_temperature,rain,snowfall,weather_code,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,city,latitude,longitude
2024-09-19,57.90598317768499,25.283333,15.7,19.944334,88.71847,8.073094,0.0,1009.5833,273.83334,15.133334,5.3333335,32.333332,8.0,0.0,0.0,,,,,,,,18.019335,21.690338,0.0,0.0,2.6666667,908.94165,86.0,3.3333333,53.666668,80.0,,0.0019102376,0.26399556,16.762362,263.67596,271.5754,15.06,22.777666,0.314,Bangalore,12.9716,77.5946
2024-09-20,51.02697647789605,23.329168,13.537499,23.725584,70.534386,10.100894,0.1,1009.3459,345.16666,18.1875,5.7374997,52.541668,11.375,2.33125,2.90625,,,,,,,,17.5735,25.34714,0.1,0.0,4.5,909.91974,83.666664,16.0,17.375,80.458336,,0.20836014,0.97781485,15.6111765,266.44354,271.99326,19.92,26.227667,0.31666666,Bangalore,12.9716,77.5946
2024-09-21,39.342058388426096,16.175001,9.458333,24.190168,68.804146,13.5142355,1.2,1009.42084,239.875,12.2,4.0875,51.458332,7.0,2.1020834,2.908333,,,,,,,,17.675585,25.287302,1.2,0.0,6.9166665,910.1352,89.541664,4.5416665,51.708332,54.708332,,0.20639211,1.040963,20.948973,288.18686,290.6849,26.205,26.181833,0.31608334,Bangalore,12.9716,77.5946
2024-09-22,41.84517457104816,17.158335,10.720833,23.881834,72.62433,13.325019,0.3,1008.3125,246.375,12.6125,4.366667,49.375,5.5416665,2.03125,2.7854166,,,,,,,,18.231833,25.161736,0.3,0.0,6.6666665,909.0389,88.25,30.541666,47.0,70.416664,,0.18466248,0.91424775,20.717455,289.1243,290.15665,26.159998,26.006834,0.30975,Bangalore,12.9716,77.5946
2024-09-23,29.83262103337508,10.508333,7.2166667,23.5485,80.008316,14.6536455,5.3,1008.125,249.91667,12.195834,3.8916667,49.916668,0.9166667,1.21875,2.8270833,,,,,,,,19.590166,25.273085,5.3,0.0,23.583334,908.7661,95.083336,54.958332,29.5,88.708336,,0.16373508,0.6658068,21.835669,272.3285,274.0222,28.019999,25.619333,0.31149998,Bangalore,12.9716,77.5946
2024-09-24,16.666666749450897,5.7041664,4.0,22.998499,83.98075,16.700033,6.3,1007.43335,216.04167,10.175,3.575,46.458332,0.0,1.28125,2.7583332,,,,,,,,19.927668,24.448778,6.3,0.0,37.666668,907.9726,100.0,81.166664,46.666668,99.916664,,0.13506027,0.5090926,24.720879,256.96225,257.7825,31.755,24.677668,0.38070834,Bangalore,12.9716,77.5946
2024-09-25,26.215277529425094,9.595834,6.2916665,23.1485,79.94138,16.131239,0.6,1007.95416,215.41667,10.724999,3.5458333,48.083332,0.5,2.1083333,2.9020834,,,,,,,,19.244333,24.380106,0.6,0.0,11.0,908.4871,100.0,35.541668,13.958333,100.0,,0.15622549,0.6404346,25.172823,264.50858,264.90994,29.909998,24.461,0.4219167,Bangalore,12.9716,77.5946
2024-09-26,31.53400997023637,11.95,7.7833333,23.556833,76.40496,13.968934,0.6,1008.7083,253.04167,14.25,4.4500003,41.041668,1.5833334,1.74375,2.9270833,,,,,,,,18.775583,24.904963,0.6,0.0,11.0,909.29297,99.958336,30.25,16.5,99.916664,,0.16863632,0.7846084,21.872686,257.843,258.84192,26.175001,24.946417,0.40270832,Bangalore,12.9716,77.5946
2024-09-27,30.329861243565876,12.825,7.2791667,23.2985,80.21516,9.563991,1.5,1010.77496,273.70834,14.733334,4.6625,38.416668,6.2916665,2.1875,2.8687499,,,,,,,,19.306833,25.608093,1.5,0.0,11.166667,911.0743,99.916664,27.958334,10.5,99.791664,,0.16858786,0.66882014,14.607193,257.9751,265.61642,19.304998,24.806833,0.41925,Bangalore,12.9716,77.5946
2024-09-28,48.468750221437205,21.570833,13.741668,23.302668,81.46318,7.227934,7.2999997,1011.875,408.25,17.966667,7.7166667,46.791668,3.9583333,1.7666668,2.7854166,,,,,,,,19.696417,26.213919,7.2999997,0.0,37.958332,912.0705,89.166664,38.291668,33.833332,80.041664,,0.16873305,0.5998929,11.426305,183.84938,181.61116,16.89,25.040167,0.437,Bangalore,12.9716,77.5946
2024-09-29,51.29407037824308,21.254168,14.1375,24.029749,78.21328,7.1769977,1.2,1012.08746,326.04166,18.816668,8.175,52.458332,0.20833333,2.40625,2.8479166,,,,,,,,19.638084,26.92571,1.2,0.0,16.041666,912.49,49.791668,37.458332,20.083334,6.625,,0.17646265,0.7425899,12.432,109.48177,111.61916,16.08,25.540167,0.44170833,Bangalore,12.9716,77.5946
2024-09-30,60.06410216588919,28.258333,17.691668,24.421417,73.090225,8.333816,0.1,1011.375,340.16666,20.583334,11.325,44.5,0.20833333,2.4166667,2.8000002,,,,,,,,18.702667,26.831835,0.1,0.0,2.625,911.9671,22.083334,14.583333,7.0833335,3.0833333,,0.21053451,0.9593709,14.6721735,121.28846,124.91323,17.339998,26.465166,0.40608335,Bangalore,12.9716,77.5946
2024-10-01,62.885683846439726,28.275,18.199999,25.033918,70.77895,6.3349667,0.4,1010.27496,367.58334,21.183332,14.604167,55.458332,0.0,2.5104167,2.7854166,,,,,,,,18.936,27.843847,0.4,0.0,7.875,911.1687,54.458332,19.666666,18.083334,37.666668,,0.19882731,1.0358353,11.529991,146.9498,150.38939,14.759999,27.069334,0.3800417,Bangalore,12.9716,77.5946
2024-10-02,62.2738602451789,25.783333,17.791666,23.813086,80.695244,8.336679,13.2,1011.5208,439.58334,25.279167,9.241667,55.791668,0.0,2.4416668,2.6979167,,,,,,,,19.911001,26.753738,13.2,0.0,31.666666,911.90704,76.916664,19.583334,18.208334,70.791664,,0.19147587,0.68362707,12.373551,211.49928,224.07684,19.199999,26.233917,0.42491665,Bangalore,12.9716,77.5946
2024-10-03,63.868856480997856,27.074999,18.55,23.381834,81.626785,8.930886,0.8,1011.41254,418.79166,22.125,6.9666667,62.5,0.0,2.0208333,2.6020834,,,,,,,,19.769335,26.07221,0.8,0.0,9.083333,911.67773,99.708336,4.125,27.125,99.708336,,0.1653174,0.6083706,15.653028,289.13672,294.21072,18.225,25.350584,0.4407917,Bangalore,12.9716,77.5946
2024-10-04,46.22952253942476,17.225,11.9375,23.544334,82.02584,9.320225,15.6,1011.39166,325.41666,17.995832,5.4708333,60.0,0.0,1.4958334,2.5125,,,,,,,,19.956835,26.279388,15.6,0.0,27.666666,911.70905,100.0,34.416668,58.0,100.0,,0.16972955,0.61417645,13.573363,283.53793,291.97812,19.289999,25.538084,0.4421667,Bangalore,12.9716,77.5946
2024-10-05,52.35487878365055,22.0375,15.358334,22.333918,86.54055,7.791319,3.4,1011.67084,453.33334,25.683334,7.8125,43.708332,0.041666668,1.1979166,2.5895834,,,,,,,,19.85475,24.990143,3.4,0.0,21.333334,911.5832,99.916664,27.208334,71.25,96.833336,,0.1098257,0.39872488,11.907104,300.59488,305.25397,16.38,23.869333,0.47191668,Bangalore,12.9716,77.5946
2024-10-06,95.9545044888798,51.158337,32.758335,23.175583,76.51353,7.2779617,0.0,1011.4167,610.625,32.212498,10.704166,65.208336,6.75,1.7145834,2.3916667,,,,,,,,18.54225,25.32293,0.0,0.0,2.875,911.61725,94.708336,4.3333335,58.791668,92.125,,0.14254148,0.7363391,13.751408,128.97467,128.9941,15.03,24.652666,0.4555,Bangalore,12.9716,77.5946
2024-10-07,96.7228454864263,53.3125,33.425,23.163084,78.74818,11.01217,1.1,1012.3042,409.33334,18.333334,10.270833,85.166664,8.458333,1.86875,2.2479167,,,,,,,,18.74225,25.149416,1.1,0.0,14.25,912.41284,67.041664,28.041666,32.291668,42.291668,,0.18453644,0.701994,17.323446,96.68661,97.552734,22.245,25.002668,0.42979166,Bangalore,12.9716,77.5946
