datetime,city,latitude,longitude,calculated_aqi,pm10,pm2_5,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,pressure_msl,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,uv_index,uv_index_clear_sky,ammonia,alder_pollen,birch_pollen,grass_pollen,mugwort_pollen,olive_pollen,ragweed_pollen,dew_point_2m,apparent_temperature,rain,snowfall,weather_code,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm
2025-08-20 18:30:00+00:00,Bangalore,12.9716,77.5946,45.833333333333336,15.1,11.0,19.361,89.90196,11.043261,0.0,1012.7,257.0,14.6,6.6,35.0,7.0,0.0,0.0,,,,,,,,17.661001,20.513943,0.0,0.0,1.0,911.55884,39.0,0.0,3.0,38.0,,0.0,0.22696877,21.522614,250.9743,255.96373,27.359999,20.561,0.334
2025-08-20 19:30:00+00:00,Bangalore,12.9716,77.5946,43.333331743876144,14.5,10.4,18.961,92.46159,10.644379,0.0,1012.4,214.0,12.8,6.3,34.0,7.0,0.0,0.0,,,,,,,,17.711,20.194492,0.0,0.0,1.0,911.1587,24.0,0.0,3.0,22.0,,0.0,0.16527152,21.129883,251.25856,256.2005,23.759998,20.211,0.335
2025-08-20 20:30:00+00:00,Bangalore,12.9716,77.5946,40.0000015894572,13.9,9.6,18.661001,94.50803,10.24578,0.0,1012.1,186.0,11.3,6.0,34.0,7.0,0.0,0.0,,,,,,,,17.761,19.974995,0.0,0.0,3.0,910.79114,94.0,0.0,7.0,94.0,,0.0,0.118172646,20.480488,251.56496,257.30734,23.039999,19.911001,0.335
2025-08-20 21:30:00+00:00,Bangalore,12.9716,77.5946,38.333332538604736,13.9,9.2,18.511,95.70022,10.99769,0.0,1011.9,174.0,10.5,5.9,33.0,8.0,0.0,0.0,,,,,,,,17.811,19.737684,0.0,0.0,2.0,910.56226,59.0,14.0,12.0,47.0,,0.0,0.09165621,21.612747,248.89508,255.0378,23.759998,19.661001,0.335
2025-08-20 22:30:00+00:00,Bangalore,12.9716,77.5946,38.333332538604736,14.3,9.2,18.361,96.60385,11.203464,0.0,1012.1,177.0,10.0,5.9,32.0,8.0,0.0,0.0,,,,,,,,17.811,19.557764,0.0,0.0,1.0,910.69293,47.0,28.0,7.0,20.0,,0.0,0.07171774,21.862406,246.3179,252.75845,24.48,19.461,0.335
2025-08-20 23:30:00+00:00,Bangalore,12.9716,77.5946,33.7500015894572,11.5,8.1,18.211,97.51707,11.672275,0.0,1012.2,206.0,7.5,4.4,37.0,6.0,0.0,0.0,,,,,,,,17.811,19.33948,0.0,0.0,3.0,910.73413,100.0,100.0,3.0,0.0,,0.0,0.051943064,22.575474,250.16779,254.74483,25.199999,19.311,0.336
2025-08-21 00:30:00+00:00,Bangalore,12.9716,77.5946,30.416667461395267,11.0,7.3,19.261,95.42509,11.7827835,0.0,1012.7,288.0,8.2,4.4,37.0,6.0,0.05,0.1,,,,,,,,18.511,20.690845,0.0,0.0,3.0,911.5263,100.0,100.0,98.0,0.0,,0.018559854,0.102184296,21.04461,251.28816,255.13167,26.64,20.211,0.336
2025-08-21 01:30:00+00:00,Bangalore,12.9716,77.5946,29.166666666666668,10.9,7.0,20.061,91.65875,12.9249525,0.0,1013.4,395.0,9.2,4.4,37.0,6.0,0.6,1.0,,,,,,,,18.661001,21.393503,0.0,0.0,3.0,912.41583,100.0,30.0,100.0,6.0,,0.042823356,0.19577742,19.348116,257.125,257.64465,29.519999,20.311,0.336
2025-08-21 02:30:00+00:00,Bangalore,12.9716,77.5946,29.583332935969036,10.8,7.1,21.411001,83.82252,14.957339,0.0,1014.0,454.0,9.4,4.4,39.0,7.0,1.75,3.35,,,,,,,,18.561,22.399513,0.0,0.0,3.0,913.3908,100.0,89.0,100.0,85.0,,0.11233761,0.41256046,23.264606,267.24094,266.4514,35.64,20.711,0.335
2025-08-21 03:30:00+00:00,Bangalore,12.9716,77.5946,28.7500003973643,11.1,6.9,22.411001,80.10308,13.14493,0.0,1013.9,419.0,8.1,4.2,44.0,8.0,3.35,6.8,,,,,,,,18.811,23.779884,0.0,0.0,3.0,913.62067,100.0,84.0,87.0,99.0,,0.15176152,0.53927684,20.523155,271.5693,271.00507,37.44,21.311,0.334
