Plant Name,Developer Name,Capacity (MW),Date of Operation,County,State,Balancing Authority
Tehachapi Wind Resource II,CalWind,15.5,01/07/2025,Kern,CA,CISO
Hart Wind,NextEra Energy,166.4,01/07/2025,Castro,TX,ERCO
Wheatridge East Wind,NextEra Energy,200,01/06/2025,Morrow,OR,BPAT
Moscow,Greenbacker,58.8,01/06/2025,Somerset,ME,ISNE
Crossover Wind,Steelhead Americas,144,01/06/2025,Cross,AR,MISO
Flat Ridge 4,Invenergy,134,01/06/2025,Kingsman,KS,SWPP
Prairie Switch Wind LLC,Fengate Capital Management,163.2,01/05/2025,Wharton,TX,ERCO
Dans Mountain,Unable to find,54.9,01/05/2025,Allegany,MD,PJM
Peyton Creek Wind Farm II,RWE,243,01/04/2025,Matagorda,TX,ERCO
AM Wind Repower LLC,Brookfield,27,01/03/2025,Riverside,CA,CISO
Panther Creek Wind Project,Greenbacker,54.4,01/02/2025,Pike,IL,MISO
WPWP,NextEra Energy,307.2,01/02/2025,Sumner,KS,SWPP
"El Sauz Ranch Wind, LLC",JERA Renewables,301,01/01/2025,Willacy,TX,ERCO
"Montgomery Ranch Wind Farm, LLC",RWE,202.5,01/01/2025,Foard,TX,ERCO
Cedar Springs Wind IV,NextEra Energy,390.4,01/01/2025,Converse,WY,WACM
Downeast Wind,Apex Clean Energy,126,01/01/2025,Washington,ME,ISNE
Prosperity Wind,Apex Clean Energy,300,01/01/2025,Piatt,IL,MISO
Boswell Wind,Alterra Power,329.8,01/12/2024,Albany,WY,PACE
Ponderosa Wind II,NextEra Energy,100,01/12/2024,Beaver,OK,SWPP
Indiana Crossroads Wind Farm II,EDP Renewables,201.6,01/12/2024,White,IN,MISO
Anticline Wind,Enyo Renewable Energy,124.3,01/12/2024,Natrona,WY,WACM
Oliver Wind IV,NextEra Energy,198.8,01/12/2024,Oliver,ND,SWPP
Diversion Wind Energy LLC,Invenergy,98.6,01/12/2024,Baylor,TX,SWPP
Diversion Wind Energy LLC,Invenergy,102,01/12/2024,Baylor,TX,SWPP
"Timbermill Wind, LLC",Apex Clean Energy,189,01/12/2024,Chowan,NC,PJM
Foote Creek Rim,PacifiCorp,134.8,01/12/2024,Carbon,WY,PACE
CalPortland Company Mojave Wind,CalPortland Company,23.5,01/11/2024,Kern,CA,CISO
Clearwater Wind III,NextEra Energy,100,01/09/2024,Rosebud,MT,AVA
Prescott Wind Farm,RPM Access,38.7,01/09/2024,Adams,IA,MISO
"Azure Sky Wind Project, LLC Hybrid",Enel,350.2,01/08/2024,Throckmorton,TX,ERCO
South Fork Wind,Orsted,130,01/07/2024,Suffolk,NY,NYIS
Babbitt Ranch Energy Center,NextEra Energy,163,01/07/2024,Coconino,AZ,SRP
Roadrunner Wind Farm,NextEra Energy,256,01/07/2024,Eastland,TX,ERCO
"Century Oak Wind Project, LLC",Engie,151.5,01/07/2024,Eastland,TX,ERCO
Mesa Wind Repower,Brookfield,30,01/06/2024,Riverside,CA,CISO
Solano Wind,Sacramento Municipal Utility District,85.5,01/05/2024,Solano,CA,CISO
Goodnight,Omega Energia,265.5,01/04/2024,Armstrong,TX,ERCO
Ranchland Wind Project II,Enel,148,01/04/2024,Callahan,TX,ERCO
Ranchland Wind Project I,Enel,114.9,01/04/2024,Callahan,TX,ERCO
Delta Wind Farm (MS),AES Clean Energy,184.5,01/04/2024,Coahoma,MS,MISO
Heartland Farms,CMS Energy,200,01/04/2024,Gratiot,MI,MISO
Chevelon Butte Phase 2,AES Clean Energy,216,01/04/2024,Coconino,AZ,AZPS
"Cedar Creek Wind, LLC",Clearway,160,01/03/2024,Bingham,ID,PACE
Horizon Hill Wind Project,TransAlta,201.5,01/02/2024,Logan,OK,SWPP
"Canyon Wind Project, LLC",NextEra Energy,308.8,01/01/2024,Scurry,TX,ERCO
White Rock East Wind Project,TransAlta,201.5,01/01/2024,Caddo,OK,SWPP
Clearwater Wind East,NextEra Energy,207.9,01/01/2024,Custer,MT,NWMT
Pioneer Hutt Wind Energy,NextEra Energy,140,01/01/2024,Midland,TX,ERCO
Strauss Wind Farm,null,95.3,01/12/2023,Santa Barbara,CA,CISO
Midland Wind,null,105.5,01/12/2023,Henry,IL,PJM
White Rock West Wind Project,null,99.5,01/12/2023,Caddo,OK,SWPP
"Ball Hill Wind Energy, LLC",null,107.5,01/12/2023,Chautauqua,NY,NYIS
"Bronco Plains Wind II, LLC",null,200,01/12/2023,Kit Carson,CO,PSCO
Moraine Sands Wind Power,null,171,01/12/2023,Mason,IL,MISO
High Banks Wind,null,643.4,01/12/2023,Republic,KS,SWPP
Clearwater Wind II,null,102.8,01/12/2023,Rosebud,MT,NWMT
Martin Marietta Wind Project,null,1.5,01/12/2023,Sandusky,OH,PJM
Martin Marietta Wind Project,null,1.5,01/12/2023,Sandusky,OH,PJM
Martin Marietta Wind Project,null,1.5,01/12/2023,Sandusky,OH,PJM
Shamrock Wind,null,223.9,01/12/2023,Crockett,TX,ERCO
Chickasaw Wind Farm,null,202.4,01/12/2023,Chickasaw,IA,MISO
"North Bend Wind Project, LLC",null,200,01/12/2023,Hyde,SD,SWPP
Roundhouse Renewable Energy II,null,105.7,01/12/2023,Laramie,WY,WACM
"Bluestone Wind, LLC",null,111.8,01/10/2023,Broome,NY,NYIS
"Sunflower Energy Center, LLC",null,200.6,01/10/2023,Marion,KS,SWPP
