datetime,location_name,operator,capacity_mw,county,state,grid,latitude,longitude,calculated_aqi,pm10,pm2_5,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,pressure_msl,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,uv_index,uv_index_clear_sky,ammonia,alder_pollen,birch_pollen,grass_pollen,mugwort_pollen,olive_pollen,ragweed_pollen,dew_point_2m,apparent_temperature,rain,snowfall,weather_code,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm
2025-09-19 07:00:00+00:00,CSU Northridge Plant,Unable to find,0.8,Los Angeles,CA,LDWP,34.2381,-118.5276,71.7948734250843,22.6,22.2,20.696999,95.178444,2.7475805,0.2,1011.6,238.0,53.9,10.0,20.0,1.0,0.0,0.0,,,,,,,,19.897,24.110437,0.2,0.0,51.0,980.3171,42.0,33.0,24.0,4.0,,0.0,0.11767864,8.748075,148.39255,143.3658,8.28,22.897,0.369
2025-09-19 08:00:00+00:00,CSU Northridge Plant,Unable to find,0.8,Los Angeles,CA,LDWP,34.2381,-118.5276,74.57264957264957,23.9,23.5,20.147,95.75242,2.3469129,0.0,1011.7,249.0,53.6,10.3,19.0,1.0,0.0,0.0,,,,,,,,19.446999,23.397186,0.0,0.0,1.0,980.35657,39.0,37.0,12.0,0.0,,0.0,0.100219965,7.2,147.52882,143.13002,8.28,22.597,0.365
2025-09-19 09:00:00+00:00,CSU Northridge Plant,Unable to find,0.8,Los Angeles,CA,LDWP,34.2381,-118.5276,77.56410174899631,25.3,24.9,19.997,95.747665,2.0523157,0.0,1011.9,258.0,53.1,10.7,18.0,1.0,0.0,0.0,,,,,,,,19.296999,23.217424,0.0,0.0,1.0,980.53455,41.0,34.0,17.0,0.0,,0.0,0.099407434,6.015878,142.12495,141.07245,6.8399997,22.347,0.361
2025-09-19 10:00:00+00:00,CSU Northridge Plant,Unable to find,0.8,Los Angeles,CA,LDWP,34.2381,-118.5276,78.84615384615384,25.9,25.5,20.046999,97.55119,3.3043609,0.0,1011.8,261.0,53.6,11.1,15.0,1.0,0.0,0.0,,,,,,,,19.647,23.255684,0.0,0.0,3.0,980.44293,100.0,100.0,28.0,0.0,,0.0,0.057421207,8.78872,150.64235,145.0079,8.64,22.147,0.358
2025-09-19 11:00:00+00:00,CSU Northridge Plant,Unable to find,0.8,Los Angeles,CA,LDWP,34.2381,-118.5276,80.12820594331139,26.7,26.1,20.046999,98.46325,4.542994,0.0,1012.1,261.0,53.9,11.5,12.0,1.0,0.0,0.0,,,,,,,,19.796999,23.14929,0.0,0.0,3.0,980.73364,96.0,95.0,25.0,0.0,,0.0,0.036034107,10.441551,146.3099,144.11777,11.159999,21.997,0.355
2025-09-19 12:00:00+00:00,CSU Northridge Plant,Unable to find,0.8,Los Angeles,CA,LDWP,34.2381,-118.5276,75.00000163021251,24.4,23.7,19.796999,99.07371,6.689125,0.0,1012.2,259.0,49.8,11.6,19.0,1.0,0.0,0.0,,,,,,,,19.647,22.51226,0.0,0.0,3.0,980.80426,100.0,100.0,29.0,0.0,,0.0,0.0213871,13.397612,156.19405,149.30035,15.119999,21.897,0.352
2025-09-19 13:00:00+00:00,CSU Northridge Plant,Unable to find,0.8,Los Angeles,CA,LDWP,34.2381,-118.5276,75.00000163021251,24.2,23.7,20.247,95.162315,3.462369,0.4,1012.4,255.0,47.1,12.2,20.0,1.0,0.0,0.0,,,,,,,,19.446999,23.33444,0.4,0.0,51.0,981.04535,90.0,79.0,67.0,0.0,,0.0,0.11484957,5.293959,351.02744,35.311302,11.159999,22.597,0.356
2025-09-19 14:00:00+00:00,CSU Northridge Plant,Unable to find,0.8,Los Angeles,CA,LDWP,34.2381,-118.5276,77.77777777777777,25.4,25.0,20.196999,92.81881,1.9881649,0.1,1012.9,250.0,43.2,13.0,23.0,1.0,0.05,0.1,,,,,,,,18.997,23.282734,0.1,0.0,51.0,981.52466,84.0,77.0,60.0,0.0,,0.017421193,0.16996646,3.7064266,354.80566,60.94549,11.879999,22.296999,0.355
2025-09-19 15:00:00+00:00,CSU Northridge Plant,Unable to find,0.8,Los Angeles,CA,LDWP,34.2381,-118.5276,73.29059747549204,23.4,22.9,20.446999,89.42009,2.1068459,0.7,1013.4,241.0,37.7,12.9,28.0,1.0,0.55,0.7,,,,,,,,18.647,23.35032,0.7,0.0,53.0,982.03546,88.0,84.0,41.0,0.0,,0.032181464,0.25430632,2.6758924,19.983198,42.27363,10.799999,22.196999,0.361
2025-09-19 16:00:00+00:00,CSU Northridge Plant,Unable to find,0.8,Los Angeles,CA,LDWP,34.2381,-118.5276,51.06837606837607,13.1,12.5,21.097,87.53886,2.3469129,0.1,1013.6,229.0,29.4,11.1,37.0,1.0,1.55,2.15,,,,,,,,18.946999,24.105968,0.1,0.0,51.0,982.297,41.0,24.0,24.0,0.0,,0.10176926,0.31172442,3.3092597,57.528828,67.61982,10.799999,22.497,0.358
