datetime,location_name,operator,capacity_mw,county,state,grid,latitude,longitude,calculated_aqi,pm10,pm2_5,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,pressure_msl,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,uv_index,uv_index_clear_sky,ammonia,alder_pollen,birch_pollen,grass_pollen,mugwort_pollen,olive_pollen,ragweed_pollen,dew_point_2m,apparent_temperature,rain,snowfall,weather_code,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm
2025-09-19 05:00:00+00:00,Corpus Refinery,Flint Hills Resources,27.5,Nueces,TX,ERCO,27.8006,-97.3964,34.99999841054281,12.1,8.4,26.619501,78.013374,6.21717,0.0,1014.6,179.0,1.7,0.6,102.0,0.0,0.0,0.0,,,,,,,,22.469501,30.898712,0.0,0.0,0.0,1013.6754,7.0,0.0,7.0,0.0,,0.011971615,0.76597714,14.974658,112.109505,115.64096,13.679999,27.5695,0.151
2025-09-19 06:00:00+00:00,Corpus Refinery,Flint Hills Resources,27.5,Nueces,TX,ERCO,27.8006,-97.3964,34.583334128061935,11.9,8.3,26.2695,81.35029,5.1826253,0.0,1014.6,180.0,1.8,0.6,100.0,0.0,0.0,0.0,,,,,,,,22.8195,30.902645,0.0,0.0,0.0,1013.67444,18.0,0.0,18.0,0.0,,0.0039895927,0.63645315,14.039999,110.32322,112.61991,10.799999,27.0695,0.151
2025-09-19 07:00:00+00:00,Corpus Refinery,Flint Hills Resources,27.5,Nueces,TX,ERCO,27.8006,-97.3964,34.583334128061935,11.8,8.3,25.969501,83.309326,2.995797,0.0,1014.6,178.0,1.8,0.6,98.0,0.0,0.0,0.0,,,,,,,,22.9195,30.980556,0.0,0.0,0.0,1013.6735,0.0,0.0,0.0,0.0,,0.0,0.5595975,10.962281,122.73522,119.511406,9.0,26.619501,0.151
2025-09-19 08:00:00+00:00,Corpus Refinery,Flint Hills Resources,27.5,Nueces,TX,ERCO,27.8006,-97.3964,34.583334128061935,11.8,8.3,25.719501,83.53384,1.2979984,0.0,1014.4,174.0,1.8,0.6,97.0,0.0,0.0,0.0,,,,,,,,22.719501,30.861656,0.0,0.0,0.0,1013.4728,0.0,0.0,0.0,0.0,,0.0,0.54397917,7.6409945,56.309914,105.01841,4.32,26.1695,0.151
2025-09-19 09:00:00+00:00,Corpus Refinery,Flint Hills Resources,27.5,Nueces,TX,ERCO,27.8006,-97.3964,34.16666587193807,11.8,8.2,25.2695,87.90061,2.3469129,0.0,1014.3,171.0,1.8,0.6,96.0,0.0,0.0,0.0,,,,,,,,23.119501,30.494251,0.0,0.0,0.0,1013.3715,14.0,1.0,2.0,12.0,,0.0,0.3891785,7.2022495,32.471172,88.56794,3.96,25.7695,0.151
2025-09-19 10:00:00+00:00,Corpus Refinery,Flint Hills Resources,27.5,Nueces,TX,ERCO,27.8006,-97.3964,34.16666587193807,11.8,8.2,25.219501,90.590256,4.5,0.0,1014.4,171.0,1.8,0.6,94.0,0.0,0.0,0.0,,,,,,,,23.5695,30.400658,0.0,0.0,0.0,1013.47144,4.0,4.0,0.0,0.0,,0.0,0.30175376,9.847496,36.86999,71.89614,7.92,25.5195,0.152
2025-09-19 11:00:00+00:00,Corpus Refinery,Flint Hills Resources,27.5,Nueces,TX,ERCO,27.8006,-97.3964,34.16666587193807,11.8,8.2,25.369501,90.32797,6.444905,0.0,1014.7,171.0,1.9,0.5,93.0,0.0,0.0,0.0,,,,,,,,23.6695,30.327763,0.0,0.0,0.0,1013.7715,16.0,16.0,0.0,0.0,,0.0,0.31293726,13.0447235,35.909817,62.02062,11.879999,25.4195,0.152
2025-09-19 12:00:00+00:00,Corpus Refinery,Flint Hills Resources,27.5,Nueces,TX,ERCO,27.8006,-97.3964,31.66666626930237,11.0,7.6,25.219501,90.31764,7.0934615,0.0,1014.9,173.0,1.7,0.6,92.0,0.0,0.0,0.0,,,,,,,,23.5195,29.992088,0.0,0.0,1.0,1013.971,21.0,8.0,0.0,14.0,,0.0,0.31049776,14.356058,35.706783,59.89878,12.959999,25.3195,0.152
2025-09-19 13:00:00+00:00,Corpus Refinery,Flint Hills Resources,27.5,Nueces,TX,ERCO,27.8006,-97.3964,32.5000007947286,11.1,7.8,24.869501,88.13337,8.027677,0.0,1015.4,176.0,1.6,0.6,94.0,0.0,0.25,0.25,,,,,,,,22.7695,29.060482,0.0,0.0,0.0,1014.4693,0.0,0.0,0.0,0.0,,0.028396629,0.3727305,14.51876,19.653913,42.990456,15.4800005,24.969501,0.155
2025-09-19 14:00:00+00:00,Corpus Refinery,Flint Hills Resources,27.5,Nueces,TX,ERCO,27.8006,-97.3964,32.5000007947286,11.2,7.8,26.4195,80.87783,8.297589,0.0,1015.7,181.0,1.4,0.5,97.0,0.0,1.2,1.25,,,,,,,,22.869501,30.627407,0.0,0.0,0.0,1014.77374,1.0,1.0,0.0,0.0,,0.13325997,0.658365,16.276815,24.34109,38.264034,18.0,25.869501,0.154
2025-09-19 15:00:00+00:00,Corpus Refinery,Flint Hills Resources,27.5,Nueces,TX,ERCO,27.8006,-97.3964,33.7500015894572,11.7,8.1,28.2695,71.26085,10.233123,0.0,1016.2,182.0,1.2,0.5,100.0,0.0,3.0,3.2,,,,,,,,22.5695,32.018085,0.0,0.0,0.0,1015.2791,8.0,2.0,0.0,6.0,,0.29631245,1.1025407,13.902015,39.289394,41.325405,24.119999,27.4195,0.154
2025-09-19 16:00:00+00:00,Corpus Refinery,Flint Hills Resources,27.5,Nueces,TX,ERCO,27.8006,-97.3964,34.16666587193807,11.9,8.2,29.369501,65.85124,10.32924,0.0,1016.5,178.0,1.0,0.5,102.0,0.0,5.25,5.7,,,,,,,,22.3195,32.988033,0.0,0.0,1.0,1015.58234,23.0,18.0,0.0,5.0,,0.4120539,1.396152,13.237039,67.4569,67.61982,25.199999,29.0695,0.153
2025-09-19 17:00:00+00:00,Corpus Refinery,Flint Hills Resources,27.5,Nueces,TX,ERCO,27.8006,-97.3964,34.16666587193807,11.8,8.2,30.119501,61.550236,11.276967,0.0,1016.2,171.0,0.8,0.4,104.0,1.0,7.4,7.9,,,,,,,,21.9195,34.098705,0.0,0.0,0.0,1015.2848,10.0,8.0,3.0,0.0,,0.513204,1.6412501,14.347028,65.48038,66.32946,27.359999,30.7695,0.152
2025-09-19 18:00:00+00:00,Corpus Refinery,Flint Hills Resources,27.5,Nueces,TX,ERCO,27.8006,-97.3964,33.7500015894572,11.7,8.1,30.9195,58.437477,12.189602,0.0,1015.7,165.0,0.7,0.4,105.0,1.0,8.55,9.05,,,,,,,,21.8195,35.517994,0.0,0.0,0.0,1014.78754,9.0,5.0,5.0,0.0,,0.6228806,1.8570619,15.7754345,73.70589,73.42591,30.239998,32.4695,0.15
2025-09-19 19:00:00+00:00,Corpus Refinery,Flint Hills Resources,27.5,Nueces,TX,ERCO,27.8006,-97.3964,33.7500015894572,11.7,8.1,30.9195,57.55134,13.576582,0.0,1014.8,163.0,0.7,0.4,104.0,1.0,8.45,8.65,,,,,,,,21.5695,35.17037,0.0,0.0,0.0,1013.8883,14.0,6.0,9.0,0.0,,0.6299201,1.896699,17.552536,83.911575,84.114105,32.760002,33.7195,0.149
2025-09-19 20:00:00+00:00,Corpus Refinery,Flint Hills Resources,27.5,Nueces,TX,ERCO,27.8006,-97.3964,34.16666587193807,11.8,8.2,30.9195,57.200203,15.669307,0.0,1014.1,162.0,0.7,0.3,103.0,1.0,6.8,6.9,,,,,,,,21.469501,34.574905,0.0,0.0,0.0,1013.1889,11.0,5.0,7.0,0.0,,0.60911816,1.9124064,20.5484,88.025116,86.98728,36.0,34.4695,0.147
2025-09-19 21:00:00+00:00,Corpus Refinery,Flint Hills Resources,27.5,Nueces,TX,ERCO,27.8006,-97.3964,34.16666587193807,11.8,8.2,30.469501,59.05106,17.081041,0.0,1013.6,162.0,0.8,0.3,101.0,1.0,4.4,4.4,,,,,,,,21.5695,33.398335,0.0,0.0,0.0,1012.68805,17.0,10.0,9.0,0.0,,0.53349864,1.7833304,22.707127,97.87385,97.74462,38.16,34.669502,0.146
2025-09-19 22:00:00+00:00,Corpus Refinery,Flint Hills Resources,27.5,Nueces,TX,ERCO,27.8006,-97.3964,34.583334128061935,12.0,8.3,30.119501,59.332706,17.050665,0.0,1013.4,162.0,1.0,0.3,99.0,1.0,2.1,2.1,,,,,,,,21.3195,32.174255,0.0,0.0,0.0,1012.4873,11.0,5.0,7.0,0.0,,0.4346069,1.7360024,22.945587,100.95402,101.3099,38.16,34.419502,0.145
2025-09-19 23:00:00+00:00,Corpus Refinery,Flint Hills Resources,27.5,Nueces,TX,ERCO,27.8006,-97.3964,34.99999841054281,12.2,8.4,29.5195,61.605175,15.881875,0.0,1013.2,161.0,1.2,0.2,97.0,1.0,0.65,0.65,,,,,,,,21.369501,31.772606,0.0,0.0,0.0,1012.2855,10.0,4.0,7.0,0.0,,0.29835105,1.583502,21.916433,107.818985,107.69099,37.079998,33.6195,0.145
2025-09-20 00:00:00+00:00,Corpus Refinery,Flint Hills Resources,27.5,Nueces,TX,ERCO,27.8006,-97.3964,25.41666626930237,8.6,6.1,28.7695,64.53283,13.141232,0.0,1013.3,161.0,1.3,0.3,91.0,1.0,0.05,0.05,,,,,,,,21.4195,31.450462,0.0,0.0,0.0,1012.38324,7.0,3.0,5.0,0.0,,0.1553672,1.4008124,19.33639,113.40471,114.1791,33.48,32.4695,0.144
2025-09-20 01:00:00+00:00,Corpus Refinery,Flint Hills Resources,27.5,Nueces,TX,ERCO,27.8006,-97.3964,24.166667461395264,8.3,5.8,28.1695,65.202805,10.742848,0.0,1013.8,160.0,1.3,0.3,90.0,1.0,0.0,0.0,,,,,,,,21.0195,30.986633,0.0,0.0,0.0,1012.88086,1.0,0.0,1.0,0.0,,0.080279514,1.3274102,18.337044,121.292984,121.349525,23.039999,31.1695,0.14
