datetime,location_name,operator,capacity_mw,county,state,grid,latitude,longitude,calculated_aqi,pm10,pm2_5,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,pressure_msl,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,uv_index,uv_index_clear_sky,ammonia,alder_pollen,birch_pollen,grass_pollen,mugwort_pollen,olive_pollen,ragweed_pollen,dew_point_2m,apparent_temperature,rain,snowfall,weather_code,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm
2025-09-19 07:00:00+00:00,"Eland Solar & Storage Center, Phase 2 Hy",Avantus,200.0,Kern,CA,LDWP,35.3733,-119.0187,58.33333251822708,23.3,15.9,20.644,88.878,3.1845248,0.0,1011.0,249.0,18.7,1.8,67.0,14.0,0.0,0.0,,,,,,,,18.744,23.4354,0.0,0.0,3.0,996.5468,83.0,20.0,20.0,74.0,,0.0,0.2705958,4.2175345,317.29062,320.1945,7.92,22.894,0.355
2025-09-19 08:00:00+00:00,"Eland Solar & Storage Center, Phase 2 Hy",Avantus,200.0,Kern,CA,LDWP,35.3733,-119.0187,61.111112741323616,24.4,17.2,20.344,91.390274,5.369916,0.0,1011.1,230.0,22.3,1.8,55.0,13.0,0.0,0.0,,,,,,,,18.894,22.88759,0.0,0.0,1.0,996.6306,43.0,1.0,29.0,18.0,,0.0,0.20563626,9.292255,309.55963,328.46524,11.5199995,22.644,0.351
2025-09-19 09:00:00+00:00,"Eland Solar & Storage Center, Phase 2 Hy",Avantus,200.0,Kern,CA,LDWP,35.3733,-119.0187,63.03418884929429,25.1,18.1,20.094,93.97868,1.7076298,0.0,1011.2,212.0,24.8,1.8,45.0,13.0,0.0,0.0,,,,,,,,19.094,23.266989,0.0,0.0,3.0,996.71704,100.0,2.0,33.0,100.0,,0.0,0.14160919,6.122647,18.435053,358.31534,10.440001,22.394,0.347
2025-09-19 10:00:00+00:00,"Eland Solar & Storage Center, Phase 2 Hy",Avantus,200.0,Kern,CA,LDWP,35.3733,-119.0187,63.46153683132596,25.0,18.3,20.044,93.39199,1.9386592,0.0,1011.1,194.0,25.7,1.7,39.0,13.0,0.0,0.0,,,,,,,,18.944,23.111889,0.0,0.0,3.0,996.61597,96.0,17.0,38.0,92.0,,0.0,0.15493011,3.189608,158.19853,106.38962,6.12,22.244,0.344
2025-09-19 11:00:00+00:00,"Eland Solar & Storage Center, Phase 2 Hy",Avantus,200.0,Kern,CA,LDWP,35.3733,-119.0187,64.52991289970203,25.5,18.8,19.644,94.54798,1.9469976,1.0,1011.2,175.0,25.6,1.7,35.0,12.0,0.0,0.0,,,,,,,,18.744,22.616598,1.0,0.0,55.0,996.6951,88.0,16.0,49.0,75.0,,0.0,0.124702215,3.7585104,123.6901,106.699326,7.2,22.094,0.352
2025-09-19 12:00:00+00:00,"Eland Solar & Storage Center, Phase 2 Hy",Avantus,200.0,Kern,CA,LDWP,35.3733,-119.0187,58.97436060457148,22.8,16.2,19.344,95.12976,3.462369,4.3,1011.5,164.0,17.7,1.4,42.0,12.0,0.0,0.0,,,,,,,,18.544,22.002485,4.3,0.0,63.0,996.9761,92.0,40.0,59.0,77.0,,0.0,0.10934305,4.68,98.97255,90.0,13.32,21.944,0.404
2025-09-19 13:00:00+00:00,"Eland Solar & Storage Center, Phase 2 Hy",Avantus,200.0,Kern,CA,LDWP,35.3733,-119.0187,58.547008547008545,22.3,16.0,19.744,96.33835,3.5864744,2.1,1011.9,166.0,17.6,1.5,43.0,11.0,0.0,0.0,,,,,,,,19.144,22.667192,2.1,0.0,61.0,997.38983,100.0,100.0,86.0,79.0,,0.0,0.08427,5.8631387,162.47433,162.12122,12.959999,22.494,0.396
2025-09-19 14:00:00+00:00,"Eland Solar & Storage Center, Phase 2 Hy",Avantus,200.0,Kern,CA,LDWP,35.3733,-119.0187,58.11965852721124,21.9,15.8,19.444,97.236305,4.0249224,0.3,1012.3,176.0,17.3,1.6,45.0,11.0,0.05,0.05,,,,,,,,18.994,22.23182,0.3,0.0,51.0,997.7693,99.0,99.0,29.0,3.0,,0.014917719,0.06243205,5.48631,116.56499,138.99101,10.08,22.244,0.393
2025-09-19 15:00:00+00:00,"Eland Solar & Storage Center, Phase 2 Hy",Avantus,200.0,Kern,CA,LDWP,35.3733,-119.0187,57.47863247863248,21.7,15.5,19.794,94.259285,3.9518096,1.9,1012.8,182.0,16.2,1.8,50.0,11.0,0.3,0.6,,,,,,,,18.844,22.52118,1.9,0.0,61.0,998.2795,92.0,27.0,90.0,0.0,,0.03658171,0.1325314,5.5450516,120.0685,125.753975,18.0,22.094,0.412
2025-09-19 16:00:00+00:00,"Eland Solar & Storage Center, Phase 2 Hy",Avantus,200.0,Kern,CA,LDWP,35.3733,-119.0187,55.98290639045911,21.1,14.8,20.144,92.23832,3.4949677,3.0,1013.4,180.0,13.4,2.0,62.0,11.0,1.05,1.9,,,,,,,,18.844,22.937546,3.0,0.0,63.0,998.8881,100.0,35.0,100.0,0.0,,0.11558114,0.18310785,4.175069,101.88863,97.43131,15.84,22.344,0.425
