Plant Name,Developer Name,Capacity (MW),Date of Operation,County,State,Balancing Authority
CTGB Maloney and Webster,TotalEnergies,2,01/07/2025,Tolland,CT,ISNE
Corpus Refinery,Flint Hills Resources,27.5,01/07/2025,Nueces,TX,ERCO
CSU Northridge Plant,Unable to find,0.8,01/07/2025,Los Angeles,CA,LDWP
"Eland Solar & Storage Center, Phase 2 Hy",Avantus,200,01/07/2025,Kern,CA,LDWP
Bakeoven Solar,Avangrid Renewables,60,01/07/2025,Wasco,OR,AVRN
Ho'Ohana Solar 1,Hanwha Group,52,01/07/2025,Honolulu,HI,HECO
Austin TX GigaFactory,Tesla,1.2,01/07/2025,Travis,TX,ERCO
Austin TX GigaFactory,Tesla,1.1,01/07/2025,Travis,TX,ERCO
"SloughHouse Solar, LLC",DE Shaw Renewable Investments,50,01/07/2025,Sacramento,CA,BANC
"Cardinal Solar, LLC",Cardinal Solar,20,01/07/2025,Venango,PA,PJM
"Northern Orchard Solar PV, LLC",RWE,150,01/07/2025,Kern,CA,CISO
NY Attica 264 Maplewood Rd,Unable to find,3.6,01/07/2025,Wyoming,NY,NYIS
Bishop Ranch - BR 2600,Renewable Construction Services,0.5,01/07/2025,Contra Costa,CA,CISO
Bishop Ranch - BR 2600,Renewable Construction Services,1.2,01/07/2025,Contra Costa,CA,CISO
Livingston Crossing,Nautilus Solar,2,01/07/2025,Prince Georges,MD,PJM
County Highway Solar 2,AES Clean Energy,5,01/07/2025,Fulton,NY,NYIS
North Woods,Nautilus Solar,5,01/07/2025,St Lawrence,NY,NYIS
Gowans,Nautilus Solar,3.8,01/07/2025,Erie,NY,NYIS
Pomham Islander,Nautilus Solar,2.5,01/07/2025,Providence,RI,ISNE
"Hornshadow Solar II, LLC",DE Shaw Renewable Investments,200,01/07/2025,Emery,UT,PACE
MD BALTIMORE 4851 HOLABIRD AVE,Unable to find,1.8,01/07/2025,Baltimore,MD,PJM
Northumberland Solar,Unable to find,65,01/07/2025,Northumberland,PA,PJM
NY FONDA 182 BOSHART RD - Montgomery 1,BW Solar,5,01/07/2025,Montgomery,NY,NYIS
Sundance Renewable Energy Center,Duke Energy,74.9,01/07/2025,Madison,FL,FPC
Polaris Solar Park,DTE Energy,100,01/07/2025,Gratiot,MI,MISO
Liberty Hybrid Solar and Storage Project,X-Elio,67.2,01/07/2025,Harris,TX,ERCO
Coldwater River Solar,Apex Clean Energy,150,01/07/2025,Branch,MI,MISO
Wheatsborough Solar,Apex Clean Energy,125,01/07/2025,Erie,OH,PJM
CA OXNARD 2600 Sakioka Dr,Unable to find,1.6,01/07/2025,Ventura,CA,CISO
CA OXNARD 2600 Sakioka Dr,Unable to find,1.6,01/07/2025,Ventura,CA,CISO
USNY - Geddes,SolarBank,3.3,01/07/2025,Onondaga,NY,NYIS
Parker Road Solar,CEP Renewables,15.4,01/07/2025,Morris,NJ,PJM
Franklin CSG 1,New Energy Equity,1,01/07/2025,Renville,MN,MISO
Bavaria Solar LLC,New Energy Equity,1,01/07/2025,Murray,MN,MISO
Richmond Solar,NextEra Energy,2,01/07/2025,McHenry,IL,PJM
Hanover II PV,Luminace,4.8,01/07/2025,Chautauqua,NY,NYIS
Thermo Fisher Pleasanton,TotalEnergies,1.9,01/07/2025,Alameda,CA,CISO
St. Clair Solar 5,Pivot Energy,5,01/07/2025,St Clair,IL,MISO
"Nuby Run Solar, LLC",Dimension Energy,2,01/06/2025,Isle of Wight,VA,PJM
Spencer Solar CSG,NextEra Energy,2.3,01/06/2025,Worcester,MA,ISNE
Orange Grove,Advanced Power ,131,01/06/2025,Jim Wells,TX,ERCO
"Speedway Solar, LLC",Ranger Power,199,01/06/2025,Shelby,IN,MISO
Ash Creek Solar,Primergy,408.9,01/06/2025,Hill,TX,ERCO
Jones Farm Solar,Urban Grid,64,01/06/2025,Queen Annes,MD,PJM
"Estonian Solar Project, LLC",Enel,204.5,01/06/2025,Delta,TX,ERCO
IMPA Winamac Solar Park,Indiana Municipal Power Agency,3.3,01/06/2025,Pulaski,IN,MISO
Ring Road,Greenbacker,2,01/06/2025,Plymouth,MA,ISNE
"SR Blount, LLC",Silicon Ranch,1.5,01/06/2025,Blount,TN,TVA
"SR Christiana, LLC",Silicon Ranch,3.3,01/06/2025,Rutherford,TN,TVA
"SR Albany, LLC",Silicon Ranch,4.3,01/06/2025,Greene,TN,TVA
Pine Hill Westport,Greenbacker,3.3,01/06/2025,Bristol,MA,ISNE
Upland,Greenbacker,5,01/06/2025,Plymouth,MA,ISNE
FFP - NY Ruggirello CSG,ibV Energy Partners,2,01/06/2025,Orange,NY,NYIS
County Highway Solar 1 CSG,AES Clean Energy,5,01/06/2025,Fulton,NY,NYIS
"Hornshadow Solar, LLC",BHI,100,01/06/2025,Emery,UT,PACE
NV - Nokomis - CHI,Unable to find,3,01/06/2025,Clark,NV,NEVP
